Part number	Quantity	Description	Source
#110-001	1	OPTICS BRACKET MAIN BODY - 3DPRINT	
#110-002	2	SLIDE ENDCAP - 3DPRINT	
#111-001	0	LEFT DISPLAY TRAY - 75cm FOCAL - 3DPRINT	
#112-001	0	RIGHT DISPLAY TRAY - 75cm FOCAL - 3DPRINT	
#111-002	1	LEFT DISPLAY TRAY - 25cm FOCAL - 3DPRINT	
#112-002	1	RIGHT DISPLAY TRAY - 25cm FOCAL - 3DPRINT	
#113-001	1	LEFT ROTATION ADJUSTMENT SLIDE MOUNT - 3DPRINT	
#114-001	1	RIGHT ROTATION ADJUSTMENT SLIDE MOUNT - 3D PRINT	
#115-001	1	FOREHEAD REST BASE SHAPE - 3DPRINT	
#120-001	1	HALO MAIN BODY - 3DPRINT	
#120-002	1	HALO LID - 3DPRINT	
#121-001	1	HALO ELECTRONICS HOLDER - 3DPRINT	
#121-002	1	HALO ELECTRONICS DP PORT HOLDER - 3DPRINT
#130-001	0	SIMPLIFIED OPTICS MAIN BODY - 3DPRINT
#131-001	0	SIMPLIFIED DRIVER BOARD MOUNT - 3DPRINT
#131-002	0	SIMPLIFIED DP PORT HOLDER - 3DPRINT	
#210-001	1	FOREHEAD MAIN STRUCTURE - 3DPRINT	
#210-002	1	FOREHEAD HEADGEAR SPAN - 3DPRINT	
#210-003	2	FOREHEAD HINGE CAP - 3DPRINT	
#210-004	2	FOREHEAD HINGE BASE - 3DPRINT	
#220-001	2	REAR HINGE BASE 3DPRINT	
#220-002	2	REAR HINGE CAP 3DPRINT	
#230-001	1	LEFT SIDE MAIN SPAN WITH SLIDE BRAKE - 3DPRINT	
#230-002	1	LEFT BRAKE HOUSING - 3DPRINT	
#230-003	1	LEFT BRAKE BUTTON - 3DPRINT	
#230-004	1	LEFT CABLE GUIDE - 3DPRINT	
#240-001	1	RIGHT SIDE MAIN SPAN WITH SLIDE BRAKE - 3DPRINT	
#240-002	1	RIGHT BRAKE HOUSING - 3DPRINT	
#240-003	1	RIGHT BRAKE BUTTON - 3DPRINT	
#240-004	1	RIGHT CABLE GUIDE - 3DPRINT	
#500-001	1	LEFT REFLECTOR	
#500-002	1	RIGHT REFLECTOR	
#630-001	1	0.304-in OD TORSION SPRING 180 DEG. L-HAND WOUND	McMaster #9271K603, https://www.mcmaster.com/9271k6
#630-002	1	0.304-in OD TORSION SPRING 180 DEG. R-HAND WOUND	McMaster #9271K668, https://www.mcmaster.com/9271k668
#640-001	28	M2.5x0.45 6mm LONG STEEL FLAT HEAT SCREW 90 DEG CS	McMaster #91420a016, https://www.mcmaster.com/91420a016
#640-002	2	M4x0.7 20mm STEEL BUTTON HEAD SOCKET SCREW	McMaster #91239a152, https://www.mcmaster.com/91239a152
#650-001	36	M2x8mm LONG THREAD-FORMING SCREWS FOR PLASTIC	McMaster #96817a212, https://www.mcmaster.com/96817a212
#660-001	2	M4x0.7mm ZINC PLATED NYLON INSERT HEX LOCK NUT	https://www.amazon.com/gp/product/B015A3CV5S/ref=oh_aui_detailpage_o00_s00?ie=UTF8&psc=1
#670-001	2	5/16 ID x 3/4 OD x 1/16in  NEOPRENE WASHER	https://www.amazon.com/s?k=5%2F16+ID+x+3%2F4+OD+x+1%2F16in+NEOPRENE+WASHER&i=industrial&ref=nb_sb_noss
#690-001	21	M2.5x0.45  3.4mm LONG HEAT-SET INSERT FOR PLASTICS	McMaster #94180a321, https://www.mcmaster.com/94180a321
#700-002	2	BOE 3.5-in VS035ZSM-NW0 120HZ LTPS 1440*1600 Module	
#800-001	1	DISPLAY DRIVER BOARD	
#900-001	1	MILLER WELDING GEN. III HEADGEAR	https://store.cyberweld.com/miwehegeiiir.html
#900-002	1	2mm THICK SELF-STICK ANTI-SKID RUBBER	https://www.amazon.com/gp/product/B01K7JFXAA
#900-003	1	FOAM FOREHEAD PADDING	https://www.joann.com/airtex-0.5-16-oz.-high-density-foam/2180313.html#start=1
#900-004	1	FOAM BACKED FABRIC	https://www.joann.com/headliner-utility-fabric-55-black/3496072.html
#900-005	1	3x10x165mm 6061 AL. BAR SLIDE	McMaster #9146t21, https://www.mcmaster.com/9146t21